TIME,NODEUUID,BLEUUID,RSSI,PACKETID
21:57:4,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
21:57:4,123:231:213:90:88:10,234:210:11:40:111:36,88,5:2:12:4:5:6:42:88
21:57:4,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
21:57:5,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
21:58:3,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
21:59:0,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
21:59:0,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
21:59:0,123:231:213:90:88:10,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
21:59:1,123:231:213:90:88:10,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
21:59:1,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
21:59:1,123:231:213:90:88:10,234:210:11:40:111:36,91,5:2:12:4:5:6:42:88
21:59:1,123:231:213:90:88:10,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
21:59:2,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
21:59:55,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
21:59:55,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
21:59:55,123:231:213:90:88:10,234:210:11:40:111:36,91,5:2:12:4:5:6:42:88
21:59:56,123:231:213:90:88:10,234:210:11:40:111:36,82,5:2:12:4:5:6:42:88
22:0:25,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
22:0:25,123:231:213:90:88:10,234:210:11:40:111:36,91,5:2:12:4:5:6:42:88
22:0:25,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:26,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:26,123:231:213:90:88:10,234:210:11:40:111:36,91,5:2:12:4:5:6:42:88
22:0:26,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:26,123:231:213:90:88:10,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
22:0:28,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:28,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:28,123:231:213:90:88:10,234:210:11:40:111:36,91,5:2:12:4:5:6:42:88
22:0:29,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:31,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
22:0:31,123:231:213:90:88:10,234:210:11:40:111:36,89,5:2:12:4:5:6:42:88
22:0:31,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:32,123:231:213:90:88:10,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
22:0:32,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:32,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
22:0:32,123:231:213:90:88:10,234:210:11:40:111:36,91,5:2:12:4:5:6:42:88
22:0:32,123:231:213:90:88:10,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
22:0:34,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
22:0:34,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:34,123:231:213:90:88:10,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
22:0:34,123:231:213:90:88:10,234:210:11:40:111:36,90,5:2:12:4:5:6:42:88
22:0:34,123:231:213:90:88:10,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
22:0:35,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
22:0:35,123:231:213:90:88:10,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
